,std,no_Local,no_local_std,random,ias
5,,,0.002145111672900075,0.002099350524169073,0.0021074032017583803
6,,,0.001858765273334195,0.0020083616004518664,0.00196924447628096
7,,,0.001812051859316666,0.0019872434619944116,0.0019515022964568074
8,,,0.0016297858461529044,0.0018094728524477115,0.0019189930245182153
9,,,0.0015539461235272265,0.0018115341017153155,0.0019571756734257624
10,,,0.0014101718660978326,0.0016845860423182442,0.0019627835275966804
11,,,0.0013469686255280088,0.0016362687789502315,0.001956236377915461
12,,,0.0013060208154643575,0.0016328744683264385,0.0019548746180758536
13,,,0.0012732545665109186,0.0015669737511804637,0.0019306677450858984
14,,,0.0013272632033405935,0.0015397164315063112,0.0018873713194418257
15,,,0.0012842152096035689,0.001458228260277967,0.001729961244982533
16,,,0.0012326177658312438,0.0014032862150550344,0.0017153158996173485
17,,,0.001240677730358096,0.0013983554785260244,0.0016068380254979952
18,,,0.0012116320466617966,0.0013809386478341843,0.0015285866192283144
19,,,0.001189416724562714,0.0013394666782061183,0.001526996699786206
20,,,0.001121082234806315,0.0013321847607456918,0.0015144055671691737
21,,,0.0010901252811032758,0.0013327912844785868,0.00157153073211833
22,,,0.0010601838546948888,0.0012609924142096237,0.0015928363672705348
23,,,0.0010580832509490103,0.0012631244776904898,0.0015811286284189807
24,,,0.0010505723612198158,0.0012654771761721642,0.0016061195468597938
25,,,0.001014647362360056,0.0012524376197365716,0.0016323112935539574
