,std,no_Local,no_local_std,random,ias
5,,,0.0011709346702360674,0.0011741638757495792,0.001166869144400339
6,,,0.0008542843644709046,0.000984221934392299,0.0011360740730437541
7,,,0.0009392374308209029,0.001010582398850375,0.0010628988591556295
8,,,0.0006540977164932086,0.0010970095161047671,0.0010143346306444882
9,,,0.0007279190356249981,0.0010461586532485815,0.0009503261908867768
10,,,0.0006400312965112623,0.0009012536293525755,0.00095830169144935
11,,,0.0007025170985105496,0.0009156192581288717,0.0009548014678858999
12,,,0.0007337834966318471,0.0008609132420498897,0.0009380015853826751
13,,,0.0007491601730443656,0.0008067201620944442,0.0009490535833817461
14,,,0.0007623381716363043,0.0008249836086472755,0.0009389571610234467
15,,,0.000757433244788156,0.0008326099093838991,0.0008152197906652862
16,,,0.0007741101285204025,0.000854657904469295,0.0007279726061036852
17,,,0.0007358256682206594,0.0008458961560190395,0.0007006898819191855
18,,,0.0007155237464881134,0.0008304091835775835,0.0007506822312199808
19,,,0.0007012723107134573,0.0008055589336861778,0.0006938713654028409
20,,,0.0006851354625512547,0.0007701794943967027,0.0006911437997994576
21,,,0.0006859973841504622,0.000787338417115953,0.0006996127699362691
22,,,0.0006188245918328599,0.0007576032167568822,0.0006990924271058801
23,,,0.0006264011217703087,0.0007580289634111512,0.0007465406263864837
24,,,0.0006163463743070047,0.0007736929765928619,0.0006926724801433104
25,,,0.0006296385861778869,0.0007453706602454681,0.0006754515593959491
